item_id,claim_type,claim_text,source,annotator_id,reference_label,confidence_1_to_5,rationale,adjudication_status
MCB-001,causal,A model can therefore be credible for prediction and not credible for a causal or mechanistic claim.,deterministic_extractor,,,,,
MCB-002,causal,"This result is informative but bounded: stimulus-aware models predict held-out responses and partial topographic evidence is stable, while synaptic topology and causal direction remain unobserved.",deterministic_extractor,,,,,
MCB-003,causal,"A useful predictor need not recover a circuit, while a reproducible local structure--function association can remain weaker than intervention-supported causality.",deterministic_extractor,,,,,
MCB-004,causal,Static and Dynamic Sensorium test whether modern predictive gains remain separated from anatomical and causal claims.,deterministic_extractor,,,,,
MCB-005,causal,Static and Dynamic Sensorium are used to preserve predictive evidence without promoting it to causality.,deterministic_extractor,,,,,
MCB-006,causal,"High response correlation therefore supports a predictive-surrogate claim, conditional on reliability and test design, but not by itself an anatomical or causal claim.",deterministic_extractor,,,,,
MCB-007,causal,"Notice that predictive performance, empirical reliability, anatomical plausibility, and causal explanation answer different scientific questions.",deterministic_extractor,,,,,
MCB-008,causal,"This produces a direct advantage over a conventional predictive evaluation, because strong reproducibility or prediction in Allen and Sensorium is not allowed to compensate for missing topology, direction, or causal evidence.",deterministic_extractor,,,,,
MCB-009,digital_twin,"This is why the manuscript reports an internally reproduced local association, cites the stronger prior result, and explicitly withholds biological-priority, causal, behavioural, and whole-brain conclusions.",deterministic_extractor,,,,,
MCB-010,digital_twin,"In the current study, the framework admits an internally reproduced local observational structure--function association, while rejecting causal, behavioural, whole-brain, and state-of-the-art predictor claims.",deterministic_extractor,,,,,
MCB-011,digital_twin,It is not proposed as a complete brain simulator and it does not claim to instantiate a full digital twin.,deterministic_extractor,,,,,
MCB-012,digital_twin,"A digital twin normally implies correspondence with a specific physical entity, repeated calibration, and the ability to reproduce relevant states under meaningful interventions.",deterministic_extractor,,,,,
MCB-013,digital_twin,"An individual whole-brain twin would require entity-specific calibration, sufficiently broad structure and dynamics, repeated state estimation, and validation under perturbations.",deterministic_extractor,,,,,
MCB-014,digital_twin,Digital Twin Brain proposals broaden this objective towards multiscale models that connect biological and .,deterministic_extractor,,,,,
MCB-015,digital_twin,Whole-brain axonal tracing supplies a complementary mesoscale view.,deterministic_extractor,,,,,
MCB-016,digital_twin,"These results support an internally reproduced local association, not a causal, behavioural, or whole-brain digital twin.",deterministic_extractor,,,,,
MCB-017,generalization,"In the legacy out-of-distribution cohort, the corresponding gains were 0.036 and 0.0022.",deterministic_extractor,,,,,
MCB-018,generalization,Model adapters expose outputs from transparent baselines or external software through the same evaluation interface.,deterministic_extractor,,,,,
MCB-019,generalization,An external simulator may produce candidate dynamics.,deterministic_extractor,,,,,
MCB-020,mechanistic,Direction without topology contains staggered peaks while the candidate does not outperform the disconnected alternative.,deterministic_extractor,,,,,
MCB-021,mechanistic,Allen provides a reproducible real-data negative mechanistic control.,deterministic_extractor,,,,,
MCB-022,mechanistic,"This formulation also provides a measurable advantage over conventional predictive evaluation, because it identifies cases in which a high predictive or reproducibility score would incorrectly promote an unsupported mechanistic claim.",deterministic_extractor,,,,,
MCB-023,mechanistic,"The rule is evaluated with four known-truth systems that isolate common drive, topology without direction, and direction without topology specificity.",deterministic_extractor,,,,,
MCB-024,mechanistic,The topology-only system passed reproducibility and topology but failed direction ($M=0.667$).,deterministic_extractor,,,,,
MCB-025,mechanistic,"The topology analysis used 20 sessions from 20 unique mice, and the direction analysis used 21 sessions from 19 mice.",deterministic_extractor,,,,,
MCB-026,mechanistic,"The topology block required the Allen-informed candidate to improve by more than 0.05 over both the median permutation and a disconnected model, outperform at least 95\ bootstrap lower bound.",deterministic_extractor,,,,,
MCB-027,mechanistic,Topology specificity compares the candidate model with 100 region-permuted predictions and a disconnected template.,deterministic_extractor,,,,,
MCB-028,prediction,Correlation with held-out neural responses is a meaningful measure of functional approximation and can identify models that generalize better than simple baselines.,deterministic_extractor,,,,,
MCB-029,prediction,"Reproducibility is quantified by the median correlation between each session and its system template, the median odd--even correlation, and the fraction of sessions exceeding the 95th percentile of 200 within-session region permutations.",deterministic_extractor,,,,,
MCB-030,prediction,"These advances strengthen predictive models as experimental tools, while making it more important to state whether a reported value measures raw prediction, reliability-normalized performance, or evidence about circuit organization.",deterministic_extractor,,,,,
MCB-031,prediction,Static Sensorium was evaluated on seven validation mice and five mice with repeated test stimuli.,deterministic_extractor,,,,,
MCB-032,prediction,"It does not implement another neural simulator, replace the data models used by or SONATA, or reproduce the predictive infrastructure of Sensorium.",deterministic_extractor,,,,,
