case_id,family,claim,expected_authorized,v2_authorized,expected_deficits,v2_exact_deficits,priority_exact_deficits,asp_checked,asp_exact,raw_status_all_passed_ignoring_schema,equal_weight_75_percent_ignoring_schema,prediction_shortcut_ignoring_schema
bounded_predictive_performance__pristine,pristine_complete,bounded_predictive_performance,True,True,0,True,True,True,True,True,True,True
bounded_predictive_performance__status__prediction__failed,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,False
bounded_predictive_performance__status__prediction__unknown,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,False
bounded_predictive_performance__status__prediction__not_applicable,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,False
bounded_predictive_performance__status__prediction__requires_review,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,False
bounded_predictive_performance__omitted__prediction,omitted_required_block,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,False
bounded_predictive_performance__metadata__prediction__target,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__prediction__target_population,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__prediction__split,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__prediction__split_integrity,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__prediction__metric,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__prediction__threshold,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__prediction__comparator,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__prediction__value,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__status__context_of_use__failed,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__status__context_of_use__unknown,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__status__context_of_use__not_applicable,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__status__context_of_use__requires_review,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__omitted__context_of_use,omitted_required_block,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__metadata__context_of_use__use,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__context_of_use__population,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__context_of_use__output,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__context_of_use__decision_consequence,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__context_of_use__prohibited_uses,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
