predicate_id,evidence_block,evaluation_owner,decision_rule_scope,required_observations,rationale,scope,exceptions,source_ids
prediction.v2,prediction,upstream_source_adapter,source_specific_locked_endpoint_not_universal_threshold,target|target_population|split|split_integrity|metric|threshold|comparator|value,"Held-out prediction must identify its target, population, split, metric, threshold, and comparator.",One declared predictive context of use.,Prediction neither identifies mechanism nor transports beyond its evaluated population.,sargent2013verification|riedmaier2021vvuq
reproducible_compute.v2,reproducible_compute,release_and_source_adapter,clean_revision_environment_entrypoint_and_artifact_identity,source_revision|environment|entrypoint|artifact_revision,"Reproduction requires a clean source revision, environment, entry point, and bound artifacts.",Re-execution of the declared computational workflow.,Computational reproduction is not biological replication.,nasem2019reproducibility|pineau2021reproducibility|barker2022fair4rs
internal_reproduction.v2,internal_reproduction,upstream_source_adapter,source_specific_nonoverlap_and_agreement_rule,unit|partition_a|partition_b|overlap|agreement_metric|threshold|value,Non-overlapping within-resource units and their overlap must be explicit.,One resource with a preserved sampling unit.,Partitions from one resource are not independent-study replication.,nasem2019reproducibility|pineau2021reproducibility
external_replication.v2,external_replication,upstream_source_adapter,new_data_generation_process_and_same_bounded_endpoint,study_id|data_generation_id|laboratory|independence_basis|endpoint|value,"Replication requires a genuinely new data-generation process, not a repackaged resource.",Same bounded endpoint in a new study or independently generated dataset.,"New files, windows, or repositories may still share the same underlying observations.",nasem2019reproducibility
topology_specificity.v2,topology_specificity,upstream_source_adapter,prespecified_complexity_matched_topology_control,topology_scale|candidate|control_family|complexity_matching|metric|margin,A topology claim requires prespecified and complexity-matched controls at a declared scale.,The tested topology and control family.,Passing declared controls does not eliminate every alternative topology.,knox2019connectome|billeh2020v1
directed_identifiability.v2,directed_identifiability,upstream_source_adapter,assumption_conditional_direction_with_abstention,model_class|assumptions|calibration_domain|directional_test|abstention_rule|direction,"Direction is conditional on a model class, assumptions, calibration domain, and abstention rule.",One declared directional-identification problem.,Temporal order and association alone do not identify biological direction.,mooij2016cause
structure_function_association.v2,structure_function_association,upstream_source_adapter,bounded_association_with_declared_matching_and_multiplicity,tissue|functional_descriptor|connected_pairs|matched_controls|matching_variables|estimate,Local observational structure-function evidence requires matched controls and a bounded estimand.,"Declared tissue, descriptor, matching variables, and connected-pair population.","Association does not establish causality, mechanism, or whole-brain scope.",bae2025microns|ding2025wiring
causal_intervention.v2,causal_intervention,upstream_source_adapter,declared_intervention_estimand_and_identification_assumptions,design_type|estimand|intervention|outcome|identification_assumptions|effect,"The design, estimand, intervention, outcome, and identification assumptions must be explicit.",One bounded interventional or assumption-conditional effect.,The profile does not promote observational association into causal evidence.,mooij2016cause|asme2018vv40
whole_brain_coverage.v2,whole_brain_coverage,upstream_source_adapter,atlas_grounded_included_and_excluded_anatomical_scope,atlas|included_regions|excluded_regions|spatial_resolution|cellular_resolution,Complete-brain wording requires atlas-grounded included and excluded regions and resolutions.,The declared whole mouse brain.,"Regional, cortical, and mesoscale models remain partial.",oh2014mesoscale|bae2025microns|chen2026mousedtb
independent_validation.v2,independent_validation,upstream_source_adapter,independence_from_model_construction_and_locked_endpoint,validation_resource|construction_resource|independence_basis|locked_endpoint|result,Validation resources and locked endpoints must be independent of model construction.,One declared model and context of use.,Internal hold-outs and development labels are not independent validation.,oberkampf2010verification|riedmaier2021vvuq
entity_specificity.v2,entity_specificity,upstream_source_adapter,identified_animal_calibration_lineage_and_state_time,entity_id|calibration_data|identity_link|state_time|update_policy,"A twin must preserve entity identity, calibration lineage, state time, and update policy.",One identified animal.,Population and canonical models are not entity-specific twins.,xiong2023dtb|riedmaier2021vvuq
operational_compute.v2,operational_compute,upstream_source_adapter,declared_hardware_and_context_specific_resource_budget,hardware|runtime|memory|energy|update_frequency|acceptance_budget,"Runtime, memory, energy, and update frequency must satisfy a context-specific budget.",Declared hardware and operational use.,Successful offline execution does not imply operational adequacy.,asme2018vv40|riedmaier2021vvuq
uncertainty_quantification.v2,uncertainty_quantification,upstream_source_adapter,inferential_unit_uncertainty_method_and_acceptance_rule,inferential_unit|uncertainty_sources|method|confidence_level|interval|acceptance_rule,Uncertainty must be estimated at the inferential unit with a declared acceptance rule.,The uncertainty sources material to the bounded claim.,"One interval cannot cover omitted model, data, and transport uncertainties.",oberkampf2010verification|riedmaier2021vvuq|asme2018vv40
distribution_shift.v2,distribution_shift,upstream_source_adapter,declared_source_target_and_tested_shift_family,source_population|target_population|shift_family|diagnostic|acceptance_rule|result,Source and target populations and the tested shift family must be explicit.,One declared transport path or deployment context.,Passing one shift family is not universal out-of-distribution validity.,riedmaier2021vvuq|geifman2019selectivenet
competing_mechanisms.v2,competing_mechanisms,upstream_source_adapter,prespecified_nonexhaustive_alternative_discrimination,candidate_explanation|alternatives|discrimination_test|unresolved_alternatives|result,Declared alternatives and unresolved explanations prevent topology or direction from becoming mechanism by wording.,"A prespecified, explicitly non-exhaustive alternative set.",No finite control set excludes all observationally equivalent mechanisms.,mooij2016cause|oberkampf2010verification
network_dependence_control.v2,network_dependence_control,upstream_source_adapter,dependence_aware_inference_at_the_declared_relational_unit,inferential_unit|dependence_structure|method|estimand|result,Relational observations sharing nodes require an explicit dependence-aware inferential method.,The declared directed-pair frame and estimand.,Naive pair-level independence and descriptive stability are insufficient substitutes.,bae2025microns|ding2025wiring
