item_id,item_type,claim,evidence_block,statement,claim_meaning,rationale,scope,exceptions,alternatives_rejected,source_ids
relation__predictive__prediction,evidence_to_claim_relation,predictive,prediction,"For 'predictive', the block 'prediction' has role: necessary_and_sufficient_only_for_profile_authorization.",held-out prediction passes a protocol declared for the evaluated domain,Held-out performance is the direct operational evidence for a bounded predictive claim.,"Declared target, metric, split, and comparator.",Distribution shift and target leakage require separate predicates.,Training fit or in-sample correlation alone.,sargent2013verification|riedmaier2021vvuq
relation__computationally_reproducible__reproducible_compute,evidence_to_claim_relation,computationally_reproducible,reproducible_compute,"For 'computationally_reproducible', the block 'reproducible_compute' has role: necessary_and_sufficient_only_for_profile_authorization.",the declared software and artifact workflow can be reproduced from a clean revision,"Computational reproducibility requires the same data, code, methods, and recorded environment.",Re-execution of the declared computational workflow.,Restricted source data may require provider-governed access.,Public code without an executable clean revision.,nasem2019reproducibility|pineau2021reproducibility|barker2022fair4rs
relation__internally_reproduced__internal_reproduction,evidence_to_claim_relation,internally_reproduced,internal_reproduction,"For 'internally_reproduced', the block 'internal_reproduction' has role: necessary_and_sufficient_only_for_profile_authorization.",the result is reproduced in non-overlapping units or cohorts within the same resource,A within-resource repeat must use declared non-overlapping units and preserve its sampling unit.,"Split, cohort, mouse, or window within one resource, recorded as a subtype.",Reused biological units cannot be treated as independent replication.,Repeated evaluation on overlapping observations.,nasem2019reproducibility|pineau2021reproducibility
relation__externally_replicated__external_replication,evidence_to_claim_relation,externally_replicated,external_replication,"For 'externally_replicated', the block 'external_replication' has role: necessary_and_sufficient_only_for_profile_authorization.","the result is replicated in an independent resource, laboratory, or study",Replication requires new data from an independent study or resource addressing the same question.,"Cross-study, cross-resource, or cross-laboratory evidence.",Multiple windows from one volume remain internal reproduction.,Within-resource hold-outs or code reruns.,nasem2019reproducibility
relation__topology_specific__topology_specificity,evidence_to_claim_relation,topology_specific,topology_specificity,"For 'topology_specific', the block 'topology_specificity' has role: necessary_and_sufficient_only_for_profile_authorization.",the tested topology outperforms prespecified topology controls,A topology claim requires superiority over prespecified alternative or null topologies.,The tested topology family and declared controls.,Unmeasured alternatives remain outside the conclusion.,Predictive fit without topology controls.,knox2019connectome|billeh2020v1
relation__directed__directed_identifiability,evidence_to_claim_relation,directed,directed_identifiability,"For 'directed', the block 'directed_identifiability' has role: necessary_and_sufficient_only_for_profile_authorization.",direction is identified by a declared directional test,Direction must be identified by a test whose null and alternatives encode direction.,The declared directional model class.,Temporal order alone does not identify biological direction.,"Correlation, association, or chronology alone.",mooij2016cause
relation__structure_function__structure_function_association,evidence_to_claim_relation,structure_function,structure_function_association,"For 'structure_function', the block 'structure_function_association' has role: necessary_and_sufficient_only_for_profile_authorization.",a local association survives its declared matched controls and multiplicity rule,Local observational structure-function evidence requires matched controls and dependence-aware stability.,"The sampled tissue, functional descriptor, and matching protocol.",The result does not imply causality or whole-brain coverage.,Unmatched connected-versus-unconnected differences.,bae2025microns|ding2025wiring
relation__mechanistic__prediction,evidence_to_claim_relation,mechanistic,prediction,"For 'mechanistic', the block 'prediction' has role: necessary_under_this_profile_not_scientifically_sufficient.","prediction, internal reproduction, topology specificity, and direction all pass",A proposed mechanism must reproduce a declared observable consequence.,The evaluated outputs and context of use.,Predictive agreement does not identify a mechanism.,Mechanistic wording without empirical adequacy.,oberkampf2010verification|riedmaier2021vvuq
relation__mechanistic__internal_reproduction,evidence_to_claim_relation,mechanistic,internal_reproduction,"For 'mechanistic', the block 'internal_reproduction' has role: necessary_under_this_profile_not_scientifically_sufficient.","prediction, internal reproduction, topology specificity, and direction all pass",A mechanism claim should not depend on one within-resource sample.,The declared internal-reproduction subtype.,This remains weaker than external replication.,One-sample mechanistic authorization.,nasem2019reproducibility|sargent2013verification
relation__mechanistic__topology_specificity,evidence_to_claim_relation,mechanistic,topology_specificity,"For 'mechanistic', the block 'topology_specificity' has role: necessary_under_this_profile_not_scientifically_sufficient.","prediction, internal reproduction, topology specificity, and direction all pass",Mechanistic structure must outperform prespecified alternative structures.,The tested topology family.,Passing controls does not exclude every alternative mechanism.,Arbitrary topology accepted through predictive compensation.,knox2019connectome|billeh2020v1
