variant_id,operation,claim,evidence_block,decision_flips,authorization_expansions,authorization_contractions,deficit_set_changes,mean_deficit_jaccard,changed_cases
remove__bounded_predictive_performance__prediction,remove_required_relation,bounded_predictive_performance,prediction,0,0,0,1,0.9642857142857143,
remove__bounded_predictive_performance__context_of_use,remove_required_relation,bounded_predictive_performance,context_of_use,0,0,0,0,1.0,
remove__bounded_predictive_performance__data_quality,remove_required_relation,bounded_predictive_performance,data_quality,1,1,0,2,0.8928571428571429,dynamic_sensorium_prediction_with_quality_deficit__target
add__bounded_predictive_performance__reproducible_compute,add_unrequired_relation,bounded_predictive_performance,reproducible_compute,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__internal_reproduction,add_unrequired_relation,bounded_predictive_performance,internal_reproduction,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__external_replication,add_unrequired_relation,bounded_predictive_performance,external_replication,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__topology_specificity,add_unrequired_relation,bounded_predictive_performance,topology_specificity,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__directed_identifiability,add_unrequired_relation,bounded_predictive_performance,directed_identifiability,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__structure_function_association,add_unrequired_relation,bounded_predictive_performance,structure_function_association,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__causal_intervention,add_unrequired_relation,bounded_predictive_performance,causal_intervention,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__whole_brain_coverage,add_unrequired_relation,bounded_predictive_performance,whole_brain_coverage,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__independent_validation,add_unrequired_relation,bounded_predictive_performance,independent_validation,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__entity_specificity,add_unrequired_relation,bounded_predictive_performance,entity_specificity,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__operational_compute,add_unrequired_relation,bounded_predictive_performance,operational_compute,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__uncertainty_quantification,add_unrequired_relation,bounded_predictive_performance,uncertainty_quantification,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__distribution_shift,add_unrequired_relation,bounded_predictive_performance,distribution_shift,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__competing_mechanisms,add_unrequired_relation,bounded_predictive_performance,competing_mechanisms,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__network_dependence_control,add_unrequired_relation,bounded_predictive_performance,network_dependence_control,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__robustness,add_unrequired_relation,bounded_predictive_performance,robustness,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__biological_fidelity,add_unrequired_relation,bounded_predictive_performance,biological_fidelity,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__multiscale_consistency,add_unrequired_relation,bounded_predictive_performance,multiscale_consistency,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
add__bounded_predictive_performance__entity_update,add_unrequired_relation,bounded_predictive_performance,entity_update,2,0,2,4,0.7976190476190476,sensorium_static_bounded_prediction__target|dandi_000039__target
remove__clean_computational_reproduction__reproducible_compute,remove_required_relation,clean_computational_reproduction,reproducible_compute,0,0,0,0,1.0,
add__clean_computational_reproduction__prediction,add_unrequired_relation,clean_computational_reproduction,prediction,0,0,0,0,1.0,
add__clean_computational_reproduction__internal_reproduction,add_unrequired_relation,clean_computational_reproduction,internal_reproduction,0,0,0,0,1.0,
add__clean_computational_reproduction__external_replication,add_unrequired_relation,clean_computational_reproduction,external_replication,0,0,0,0,1.0,
add__clean_computational_reproduction__topology_specificity,add_unrequired_relation,clean_computational_reproduction,topology_specificity,0,0,0,0,1.0,
add__clean_computational_reproduction__directed_identifiability,add_unrequired_relation,clean_computational_reproduction,directed_identifiability,0,0,0,0,1.0,
add__clean_computational_reproduction__structure_function_association,add_unrequired_relation,clean_computational_reproduction,structure_function_association,0,0,0,0,1.0,
add__clean_computational_reproduction__causal_intervention,add_unrequired_relation,clean_computational_reproduction,causal_intervention,0,0,0,0,1.0,
add__clean_computational_reproduction__whole_brain_coverage,add_unrequired_relation,clean_computational_reproduction,whole_brain_coverage,0,0,0,0,1.0,
add__clean_computational_reproduction__independent_validation,add_unrequired_relation,clean_computational_reproduction,independent_validation,0,0,0,0,1.0,
add__clean_computational_reproduction__entity_specificity,add_unrequired_relation,clean_computational_reproduction,entity_specificity,0,0,0,0,1.0,
add__clean_computational_reproduction__operational_compute,add_unrequired_relation,clean_computational_reproduction,operational_compute,0,0,0,0,1.0,
add__clean_computational_reproduction__uncertainty_quantification,add_unrequired_relation,clean_computational_reproduction,uncertainty_quantification,0,0,0,0,1.0,
add__clean_computational_reproduction__distribution_shift,add_unrequired_relation,clean_computational_reproduction,distribution_shift,0,0,0,0,1.0,
add__clean_computational_reproduction__competing_mechanisms,add_unrequired_relation,clean_computational_reproduction,competing_mechanisms,0,0,0,0,1.0,
add__clean_computational_reproduction__network_dependence_control,add_unrequired_relation,clean_computational_reproduction,network_dependence_control,0,0,0,0,1.0,
add__clean_computational_reproduction__robustness,add_unrequired_relation,clean_computational_reproduction,robustness,0,0,0,0,1.0,
add__clean_computational_reproduction__context_of_use,add_unrequired_relation,clean_computational_reproduction,context_of_use,0,0,0,0,1.0,
add__clean_computational_reproduction__biological_fidelity,add_unrequired_relation,clean_computational_reproduction,biological_fidelity,0,0,0,0,1.0,
add__clean_computational_reproduction__multiscale_consistency,add_unrequired_relation,clean_computational_reproduction,multiscale_consistency,0,0,0,0,1.0,
add__clean_computational_reproduction__data_quality,add_unrequired_relation,clean_computational_reproduction,data_quality,0,0,0,0,1.0,
add__clean_computational_reproduction__entity_update,add_unrequired_relation,clean_computational_reproduction,entity_update,0,0,0,0,1.0,
remove__within_resource_reproduction__internal_reproduction,remove_required_relation,within_resource_reproduction,internal_reproduction,0,0,0,0,1.0,
remove__within_resource_reproduction__data_quality,remove_required_relation,within_resource_reproduction,data_quality,0,0,0,0,1.0,
