relation_id,claim,evidence_block,knowledge_status,consensus_status,necessity_rationale,block_rationale,scope,exceptions,source_ids
bounded_predictive_performance__prediction,bounded_predictive_performance,prediction,source_grounded_author_requirement,not_independently_validated,A predictive claim requires a held-out target-specific result rather than execution or association evidence.,"Held-out prediction must identify its target, population, split, metric, threshold, and comparator.",One declared predictive context of use.,Prediction neither identifies mechanism nor transports beyond its evaluated population.,sargent2013verification|riedmaier2021vvuq
bounded_predictive_performance__context_of_use,bounded_predictive_performance,context_of_use,source_grounded_author_requirement,not_independently_validated,Predictive performance is authorized only for the evaluated population output and decision consequence.,"Use, population, output, consequence, and prohibited uses bound every authorization.",One declared decision context.,Authorization cannot be transported by wording to another context.,asme2018vv40|riedmaier2021vvuq
bounded_predictive_performance__data_quality,bounded_predictive_performance,data_quality,source_grounded_author_requirement,not_independently_validated,Prediction cannot be authorized when the fitness lineage exclusions or missingness of the evaluated data are unassessed.,"Data lineage, exclusions, missingness, and source-specific quality checks must be inspectable.",Every source used by the bounded claim.,Public availability alone does not establish fitness for use.,wilkinson2016fair|gebru2021datasheets|barker2022fair4rs
clean_computational_reproduction__reproducible_compute,clean_computational_reproduction,reproducible_compute,source_grounded_author_requirement,not_independently_validated,Clean computational reproduction is defined by re-executable code environment entry point and bound artifacts.,"Reproduction requires a clean source revision, environment, entry point, and bound artifacts.",Re-execution of the declared computational workflow.,Computational reproduction is not biological replication.,nasem2019reproducibility|pineau2021reproducibility|barker2022fair4rs
within_resource_reproduction__internal_reproduction,within_resource_reproduction,internal_reproduction,source_grounded_author_requirement,not_independently_validated,Within-resource reproduction requires a stable endpoint on explicit non-overlapping units from that resource.,Non-overlapping within-resource units and their overlap must be explicit.,One resource with a preserved sampling unit.,Partitions from one resource are not independent-study replication.,nasem2019reproducibility|pineau2021reproducibility
within_resource_reproduction__data_quality,within_resource_reproduction,data_quality,source_grounded_author_requirement,not_independently_validated,Apparent agreement between partitions is uninterpretable when their source quality exclusions or missingness differ without audit.,"Data lineage, exclusions, missingness, and source-specific quality checks must be inspectable.",Every source used by the bounded claim.,Public availability alone does not establish fitness for use.,wilkinson2016fair|gebru2021datasheets|barker2022fair4rs
independent_study_replication__external_replication,independent_study_replication,external_replication,source_grounded_author_requirement,not_independently_validated,Independent replication requires a genuinely new data-generation process and cannot be supplied by another partition of the same observations.,"Replication requires a genuinely new data-generation process, not a repackaged resource.",Same bounded endpoint in a new study or independently generated dataset.,"New files, windows, or repositories may still share the same underlying observations.",nasem2019reproducibility
independent_study_replication__context_of_use,independent_study_replication,context_of_use,source_grounded_author_requirement,not_independently_validated,Replication requires the same bounded endpoint and use context rather than merely another positive result.,"Use, population, output, consequence, and prohibited uses bound every authorization.",One declared decision context.,Authorization cannot be transported by wording to another context.,asme2018vv40|riedmaier2021vvuq
independent_study_replication__data_quality,independent_study_replication,data_quality,source_grounded_author_requirement,not_independently_validated,Replication status depends on auditable fitness and lineage in both the original and independent resources.,"Data lineage, exclusions, missingness, and source-specific quality checks must be inspectable.",Every source used by the bounded claim.,Public availability alone does not establish fitness for use.,wilkinson2016fair|gebru2021datasheets|barker2022fair4rs
topology_specific_prediction__prediction,topology_specific_prediction,prediction,source_grounded_author_requirement,not_independently_validated,Topology specificity must first preserve empirical predictive adequacy for the declared target.,"Held-out prediction must identify its target, population, split, metric, threshold, and comparator.",One declared predictive context of use.,Prediction neither identifies mechanism nor transports beyond its evaluated population.,sargent2013verification|riedmaier2021vvuq
topology_specific_prediction__topology_specificity,topology_specific_prediction,topology_specificity,source_grounded_author_requirement,not_independently_validated,The topology component requires a prespecified complexity-matched control family that isolates topology from model capacity.,A topology claim requires prespecified and complexity-matched controls at a declared scale.,The tested topology and control family.,Passing declared controls does not eliminate every alternative topology.,knox2019connectome|billeh2020v1
topology_specific_prediction__uncertainty_quantification,topology_specific_prediction,uncertainty_quantification,source_grounded_author_requirement,not_independently_validated,A topology margin without uncertainty at the inferential unit cannot authorize specificity.,Uncertainty must be estimated at the inferential unit with a declared acceptance rule.,The uncertainty sources material to the bounded claim.,"One interval cannot cover omitted model, data, and transport uncertainties.",oberkampf2010verification|riedmaier2021vvuq|asme2018vv40
topology_specific_prediction__robustness,topology_specific_prediction,robustness,source_grounded_author_requirement,not_independently_validated,Specificity must persist across the declared control and analysis perturbations rather than one favorable comparison.,The locked endpoint must survive a prespecified perturbation family and worst-case rule.,"Declared data, model, and analytical perturbations.",Robustness to tested perturbations does not establish universal stability.,oberkampf2010verification|riedmaier2021vvuq
topology_specific_prediction__context_of_use,topology_specific_prediction,context_of_use,source_grounded_author_requirement,not_independently_validated,Topology specificity is bounded to the tested scale population output and control family.,"Use, population, output, consequence, and prohibited uses bound every authorization.",One declared decision context.,Authorization cannot be transported by wording to another context.,asme2018vv40|riedmaier2021vvuq
assumption_conditional_direction__directed_identifiability,assumption_conditional_direction,directed_identifiability,source_grounded_author_requirement,not_independently_validated,Direction can be authorized only inside an explicit model class assumption domain and abstention rule.,"Direction is conditional on a model class, assumptions, calibration domain, and abstention rule.",One declared directional-identification problem.,Temporal order and association alone do not identify biological direction.,mooij2016cause
assumption_conditional_direction__uncertainty_quantification,assumption_conditional_direction,uncertainty_quantification,source_grounded_author_requirement,not_independently_validated,Directional selection requires uncertainty for the declared directional estimand and inferential unit.,Uncertainty must be estimated at the inferential unit with a declared acceptance rule.,The uncertainty sources material to the bounded claim.,"One interval cannot cover omitted model, data, and transport uncertainties.",oberkampf2010verification|riedmaier2021vvuq|asme2018vv40
assumption_conditional_direction__robustness,assumption_conditional_direction,robustness,source_grounded_author_requirement,not_independently_validated,A direction that changes under prespecified assumption or analysis perturbations is not stable enough for authorization.,The locked endpoint must survive a prespecified perturbation family and worst-case rule.,"Declared data, model, and analytical perturbations.",Robustness to tested perturbations does not establish universal stability.,oberkampf2010verification|riedmaier2021vvuq
